generation,name,tier,type_1,type_2,roles,hp,attack,defense,special_attack,special_defense,speed
9,Altaria,NU,Dragon,Flying,defensive_pivot;hazard_remover;status_spreader;support;trapper,75,70,90,70,105,80
9,Ambipom,NU,Normal,-,physical_attacker;pivot;speed_control;stallbreaker;support,75,100,66,60,66,115
9,Amoonguss,NU,Grass,Poison,bulky_pivot;defensive_pivot;physical_wall;support,114,85,70,85,80,30
9,Araquanid,NU,Water,Bug,lead;physical_attacker,68,70,92,50,132,42
9,Arcanine,NU,Fire,-,physical_attacker;priority_user;revenge_killer;setup_sweeper,90,110,80,100,80,95
9,Articuno-Galar,NU,Psychic,Flying,defensive_pivot;pivot;setup_sweeper;special_attacker;speed_control,90,85,85,125,100,95
9,Avalugg,NU,Ice,-,bulky_pivot;defensive_pivot;hazard_remover;physical_wall,95,117,184,44,46,28
9,Bastiodon,NU,Rock,Steel,bulky_pivot;defensive_pivot;hazard_setter;lead;special_wall,60,52,168,47,138,30
9,Bellibolt,NU,Electric,-,bulky_pivot;defensive_pivot;physical_wall;pivot;status_spreader;support,109,64,91,103,83,45
9,Bombirdier,NU,Flying,Dark,bulky_pivot;hazard_setter;lead;pivot;special_wall,70,103,85,60,85,82
9,Brambleghast,NU,Grass,Ghost,bulky_pivot;choice_user;defensive_pivot;hazard_remover;hazard_setter;lead;physical_attacker;physical_wall;physical_wallbreaker;priority_user;revenge_killer;speed_control;support;wallbreaker,55,115,70,80,70,90
9,Bronzong,NU,Steel,Psychic,bulky_pivot;defensive_pivot;hazard_setter;lead;setup_sweeper;special_wall;support,67,89,116,79,116,33
9,Brute Bonnet,NU,Grass,Dark,physical_attacker;priority_user;revenge_killer;wallbreaker,111,127,99,79,99,55
9,Chandelure,NU,Ghost,Fire,choice_user;revenge_killer;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,60,55,90,145,90,80
9,Chansey,NU,Normal,-,cleric;defensive_pivot;status_spreader;support,250,5,5,35,105,50
9,Cinccino,NU,Normal,-,physical_attacker;speed_control,75,95,60,65,60,115
9,Coalossal,NU,Rock,Fire,bulky_pivot;defensive_pivot;hazard_remover;physical_wall;status_spreader;support,110,80,120,80,90,30
9,Copperajah,NU,Steel,-,bulky_pivot;hazard_setter;lead;phazer;special_wall;support,122,130,69,80,69,30
9,Cramorant,NU,Flying,Water,bulky_pivot;defensive_pivot;hazard_remover;physical_wall,70,85,55,85,95,85
9,Decidueye,NU,Grass,Ghost,choice_user;defensive_pivot;hazard_remover;physical_attacker;physical_wall;physical_wallbreaker;priority_user;revenge_killer;setup_sweeper;speed_control;wallbreaker,78,107,75,100,100,70
9,Decidueye-Hisui,NU,Grass,Fighting,bulky_pivot;defensive_pivot;hazard_remover;physical_wall;pivot,88,112,80,95,95,60
9,Delphox,NU,Fire,Psychic,setup_sweeper;special_attacker;speed_control,75,69,72,114,100,104
9,Ditto,NU,Normal,-,bulky_pivot;choice_user;physical_wall;revenge_killer;speed_control,48,48,48,48,48,48
9,Dragalge,NU,Poison,Dragon,bulky_pivot;choice_user;hazard_setter;lead;phazer;physical_wall;special_attacker;special_wallbreaker;support;wallbreaker,65,75,90,97,123,44
9,Drednaw,NU,Water,Rock,physical_attacker;setup_sweeper;speed_control,90,115,90,48,68,74
9,Duraludon,NU,Steel,Dragon,defensive_pivot;phazer;special_wall;support,70,95,115,120,50,85
9,Espeon,NU,Psychic,-,bulky_pivot;defensive_pivot;rain_setter;setup_sweeper;special_attacker;speed_control;support,65,65,60,130,95,110
9,Flamigo,NU,Flying,Fighting,choice_user;defensive_pivot;physical_attacker;pivot;revenge_killer;setup_sweeper;speed_control,82,115,74,75,64,90
9,Florges,NU,Fairy,-,bulky_pivot;choice_user;defensive_pivot;physical_wall;revenge_killer;setup_sweeper;special_attacker;special_wallbreaker;speed_control;wallbreaker,78,65,68,112,154,75
9,Flygon,NU,Ground,Dragon,choice_user;hazard_setter;lead;physical_attacker;physical_wallbreaker;pivot;revenge_killer;setup_sweeper;speed_control;wallbreaker,80,100,80,80,80,100
9,Froslass,NU,Ice,Ghost,defensive_pivot;hazard_setter;lead;stallbreaker;support,70,80,70,80,70,110
9,Galvantula,NU,Bug,Electric,hazard_setter;lead;special_attacker;speed_control,70,77,60,97,60,108
9,Gligar,NU,Ground,Flying,defensive_pivot;hazard_setter;lead;physical_wall,65,75,105,35,65,85
9,Golurk,NU,Ground,Ghost,choice_user;physical_attacker;physical_wallbreaker;speed_control;wallbreaker,89,124,80,55,80,55
9,Goodra,NU,Dragon,-,choice_user;general_attacker;special_attacker;special_wallbreaker;wallbreaker,90,100,70,110,150,80
9,Grafaiai,NU,Poison,Normal,physical_attacker;pivot;rain_setter;setup_sweeper;speed_control,63,95,65,80,72,110
9,Hariyama,NU,Fighting,-,physical_attacker;priority_user;revenge_killer;setup_sweeper;special_tank;speed_control;wallbreaker,144,120,60,40,60,50
9,Heracross,NU,Bug,Fighting,physical_attacker;setup_sweeper;speed_control;wallbreaker,80,125,75,40,95,85
9,Hitmonlee,NU,Fighting,-,physical_attacker;rain_setter;setup_sweeper;speed_control,50,120,53,35,110,87
9,Hoopa,NU,Psychic,Ghost,choice_user;setup_sweeper;special_attacker;special_tank;special_wallbreaker;speed_control;wallbreaker,80,110,60,150,130,70
9,Houndstone,NU,Ghost,-,bulky_pivot;defensive_pivot;phazer;physical_wall;status_spreader;support,72,101,100,50,97,68
9,Incineroar,NU,Fire,Dark,bulky_pivot;defensive_pivot;physical_attacker;pivot;setup_sweeper;special_wall;speed_control;status_spreader;support,95,115,90,80,90,60
9,Infernape,NU,Fire,Fighting,choice_user;physical_attacker;pivot;revenge_killer;special_attacker;special_wallbreaker;speed_control;wallbreaker,76,104,71,104,71,108
9,Inteleon,NU,Water,-,choice_user;special_attacker;special_wallbreaker;speed_control;wallbreaker,70,85,65,125,65,120
9,Kilowattrel,NU,Electric,Flying,pivot,70,70,60,105,60,125
9,Kingdra,NU,Water,Dragon,rain_setter;setup_sweeper;special_attacker;speed_control;wallbreaker,75,95,95,95,95,85
9,Klefki,NU,Steel,Fairy,bulky_pivot;defensive_pivot;hazard_setter;lead;special_wall;status_spreader;support,57,80,91,80,87,75
9,Ludicolo,NU,Water,Grass,rain_setter;setup_sweeper;special_attacker;speed_control;wallbreaker,80,70,70,90,100,70
9,Milotic,NU,Water,-,defensive_pivot;pivot;support,95,60,79,100,125,81
9,Mismagius,NU,Ghost,-,choice_user;rain_setter;revenge_killer;setup_sweeper;special_attacker;speed_control,60,60,60,105,105,105
9,Mudsdale,NU,Ground,-,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;support,100,125,100,55,85,35
9,Munkidori,NU,Poison,Psychic,choice_user;pivot;revenge_killer;setup_sweeper;special_attacker;speed_control,88,75,66,130,90,106
9,Naclstack,NU,Rock,-,bulky_pivot;defensive_pivot;hazard_setter;lead;special_wall,60,60,100,35,65,35
9,Ninetales-Alola,NU,Ice,Fairy,defensive_pivot;lead;screen_setter;setup_sweeper;snow_setter;special_attacker;speed_control;support;weather_setter,73,67,75,81,100,109
9,Overqwil,NU,Dark,Poison,hazard_setter;lead;physical_attacker;rain_setter;setup_sweeper;speed_control;wallbreaker;weather_abuser,85,115,95,65,65,85
9,Palossand,NU,Ghost,Ground,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall,85,75,110,100,75,35
9,Pawmot,NU,Electric,Fighting,physical_attacker;priority_user;revenge_killer;speed_control;wallbreaker,70,115,70,70,60,105
9,Pincurchin,NU,Electric,-,bulky_pivot;defensive_pivot;hazard_setter;lead;physical_wall;rain_setter,48,101,95,91,85,15
9,Porygon2,NU,Normal,-,bulky_pivot;defensive_pivot;special_wall,85,80,90,105,95,60
9,Raikou,NU,Electric,-,pivot;setup_sweeper;special_attacker;speed_control,90,85,75,115,100,115
9,Reuniclus,NU,Psychic,-,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper;special_tank;special_wall,110,65,75,125,85,30
9,Rhyperior,NU,Ground,Rock,hazard_setter;lead;physical_attacker;setup_sweeper;special_tank;speed_control,115,140,130,55,55,40
