generation,pokemon,set_name,format,tier,roles,item,ability,nature,tera_type,ev_hp,ev_atk,ev_def,ev_spa,ev_spd,ev_spe,iv_hp,iv_atk,iv_def,iv_spa,iv_spd,iv_spe,move_1,move_2,move_3,move_4
9,Ditto,Choice Scarf,gen9ubers,Ubers,bulky_pivot;choice_user;physical_wall;revenge_killer;speed_control,Choice Scarf,Imposter,Relaxed,,252,4,252,0,0,0,31,31,31,31,31,0,Transform,,,
9,Mewtwo,Nasty Plot,gen9ubers,Ubers,setup_sweeper;special_attacker;speed_control,Heavy-Duty Boots,,Timid,,0,0,0,252,4,252,31,31,31,31,31,31,Nasty Plot,Psystrike,Grass Knot,Flamethrower
9,Mewtwo,Choice Specs,gen9ubers,Ubers,choice_user;special_attacker;special_wallbreaker;speed_control;wallbreaker,Choice Specs,,Timid,,0,0,0,252,4,252,31,0,31,31,31,31,Psystrike,Ice Beam,Flamethrower,Grass Knot
9,Skarmory,Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;hazard_setter;lead;phazer;physical_wall;setup_sweeper;support,Rocky Helmet,Sturdy,Bold,,252,0,252,0,4,0,31,31,31,31,31,31,Body Press,Whirlwind,Iron Defense,Spikes
9,Blissey,Pink Blob (Specially Defensive),gen9ubers,Ubers,defensive_pivot;hazard_setter;lead;special_wall;status_spreader;support,Heavy-Duty Boots,,Calm,,4,0,252,0,252,0,31,31,31,31,31,31,Seismic Toss,Stealth Rock,Shadow Ball,Thunder Wave
9,Ho-Oh,Physically Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;phazer;physical_wall;support,Heavy-Duty Boots,Regenerator,Impish,,252,0,252,0,4,0,31,31,31,31,31,31,Sacred Fire,Brave Bird,Whirlwind,Recover
9,Ho-Oh,Offensive,gen9ubers,Ubers,defensive_pivot;physical_attacker;speed_control,Heavy-Duty Boots,Regenerator,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Sacred Fire,Brave Bird,Substitute,Earthquake
9,Ho-Oh,Choice Scarf,gen9ubers,Ubers,choice_user;defensive_pivot;physical_attacker;revenge_killer;speed_control,Choice Scarf,Regenerator,Jolly,,0,252,4,0,0,252,31,31,31,31,31,31,Sacred Fire,Brave Bird,Earthquake,Flare Blitz
9,Ho-Oh,Specially Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;phazer;special_wall;support,Heavy-Duty Boots,Regenerator,Careful,,252,0,4,0,252,0,31,31,31,31,31,31,Sacred Fire,Brave Bird,Whirlwind,Recover
9,Kyogre,Defensive,gen9ubers,Ubers,bulky_pivot;defensive_pivot;physical_wall;setup_sweeper;status_spreader;support,Heavy-Duty Boots,,Bold,,248,0,164,80,0,16,31,0,31,31,31,31,Calm Mind,Thunder Wave,Origin Pulse,Ice Beam
